Height	B.Reward	Coin Emitted	Emission(%)	Days	Years
0000000	3781.12000000	3781.12	00.00	0000	0.0
0131490	4305.83000000	497183774.63	02.37	0182	0.5
0262980	0.00000000	964077839.02	04.59	0365	1.0
0394470	0.00000000	964077839.02	04.59	0547	1.5
0525960	0.00000000	964077839.02	04.59	0730	2.0
0657450	1054500000.00000000	2018577839.02	09.61	0913	2.5
0657470	1054500000.00000000	22054077839.0	105.02	0913	2.5



Height	B.Reward	Coin Emitted	Emission(%)	Days	Years
0000000	3781.12000000	3781.12	00.00	0000	0.0
0262980	0.00000000	964077839.02	04.59	0365	1.0
0525960	0.00000000	964077839.02	04.59	0730	2.0
0657470	1054500000.00000000	22054077839.0	105.02	0913	2.5
